window_id,strategy_name,variant,share_size,start_time,end_time,final_result,orders_placed,orders_filled,up_shares,down_shares,avg_up,avg_down,avg_sum,cost,gross_pnl,net_pnl,max_imbalance,stopped_reason,first_fill_time,last_fill_time,btc_move_10s_at_entry,btc_move_30s_at_entry,pm_volume_at_entry
btc-updown-5m-1777886400,Deep Ladder Both Sides,base,5,2026-05-04 09:20:00+00:00,2026-05-04 09:24:59+00:00,DOWN,4,4,10,10,0.625,0.3,0.925,9.25,0.75,0.39,10,cancel_240,75,84,0.0,1.2539500989004626e-07,2.0
btc-updown-5m-1777886700,Deep Ladder Both Sides,base,5,2026-05-04 09:25:00+00:00,2026-05-04 09:29:59+00:00,UP,4,4,10,10,0.465,0.425,0.89,8.9,1.0999999999999996,0.7399999999999997,10,cancel_240,13,29,1.2544123949443805e-07,,1.0
btc-updown-5m-1777887000,Deep Ladder Both Sides,base,5,2026-05-04 09:30:00+00:00,2026-05-04 09:34:59+00:00,DOWN,4,4,10,10,0.465,0.43499999999999994,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,4,47,,,5.0
btc-updown-5m-1777887300,Deep Ladder Both Sides,base,5,2026-05-04 09:35:00+00:00,2026-05-04 09:39:59+00:00,DOWN,4,4,10,10,0.475,0.425,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,2,20,,,140.0
btc-updown-5m-1777887600,Deep Ladder Both Sides,base,5,2026-05-04 09:40:00+00:00,2026-05-04 09:44:59+00:00,UP,4,4,10,10,0.43499999999999994,0.45499999999999996,0.8899999999999999,8.9,1.0999999999999996,0.7399999999999997,10,cancel_240,2,28,,,175.0
btc-updown-5m-1777887900,Deep Ladder Both Sides,base,5,2026-05-04 09:45:00+00:00,2026-05-04 09:49:59+00:00,UP,4,4,10,10,0.41500000000000004,0.475,0.89,8.9,1.0999999999999996,0.7399999999999997,10,cancel_240,7,101,,,1.0
btc-updown-5m-1777888200,Deep Ladder Both Sides,base,5,2026-05-04 09:50:00+00:00,2026-05-04 09:54:59+00:00,UP,4,4,10,10,0.43499999999999994,0.465,0.8999999999999999,9.0,1.0,0.64,5,cancel_240,5,121,,,19.0
btc-updown-5m-1777888500,Deep Ladder Both Sides,base,5,2026-05-04 09:55:00+00:00,2026-05-04 09:59:59+00:00,DOWN,4,2,10,0,0.4050000000000001,,,4.050000000000001,-4.050000000000001,-4.23,10,cancel_240,29,44,-4.855057756423575e-05,,2.0
btc-updown-5m-1777888800,Deep Ladder Both Sides,base,5,2026-05-04 10:00:00+00:00,2026-05-04 10:04:59+00:00,DOWN,4,4,10,10,0.43499999999999994,0.325,0.76,7.6000000000000005,2.3999999999999995,2.0399999999999996,10,cancel_240,2,34,,,5.0
btc-updown-5m-1777889100,Deep Ladder Both Sides,base,5,2026-05-04 10:05:00+00:00,2026-05-04 10:09:59+00:00,UP,4,4,10,10,0.365,0.5349999999999999,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,2,11,,,227.0
btc-updown-5m-1777889400,Deep Ladder Both Sides,base,5,2026-05-04 10:10:00+00:00,2026-05-04 10:14:59+00:00,DOWN,4,2,10,0,0.5050000000000001,,,5.050000000000001,-5.050000000000001,-5.23,10,cancel_240,1,2,,,613.0
btc-updown-5m-1777889700,Deep Ladder Both Sides,base,5,2026-05-04 10:15:00+00:00,2026-05-04 10:19:59+00:00,DOWN,4,3,10,5,0.5050000000000001,0.41,0.915,7.1,-2.0999999999999996,-2.3699999999999997,10,cancel_240,5,107,,,9.0
btc-updown-5m-1777890000,Deep Ladder Both Sides,base,5,2026-05-04 10:20:00+00:00,2026-05-04 10:24:59+00:00,DOWN,4,4,10,10,0.515,0.385,0.9,9.0,1.0,0.64,10,cancel_240,3,83,,,36.0
btc-updown-5m-1777890300,Deep Ladder Both Sides,base,5,2026-05-04 10:25:00+00:00,2026-05-04 10:29:59+00:00,UP,4,4,10,10,0.5050000000000001,0.39499999999999996,0.9000000000000001,9.0,1.0,0.64,10,cancel_240,4,30,,,53.0
btc-updown-5m-1777890600,Deep Ladder Both Sides,base,5,2026-05-04 10:30:00+00:00,2026-05-04 10:34:59+00:00,DOWN,4,4,10,10,0.45499999999999996,0.445,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,2,43,,,77.0
btc-updown-5m-1777890900,Deep Ladder Both Sides,base,5,2026-05-04 10:35:00+00:00,2026-05-04 10:39:59+00:00,DOWN,4,4,10,10,0.45499999999999996,0.445,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,2,61,,,295.0
btc-updown-5m-1777891200,Deep Ladder Both Sides,base,5,2026-05-04 10:40:00+00:00,2026-05-04 10:44:59+00:00,UP,4,3,5,10,0.44000000000000006,0.475,0.915,6.950000000000001,-1.950000000000001,-2.220000000000001,10,cancel_240,3,37,,,356.0
btc-updown-5m-1777891500,Deep Ladder Both Sides,base,5,2026-05-04 10:45:00+00:00,2026-05-04 10:49:59+00:00,UP,4,4,10,10,0.445,0.45499999999999996,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,4,29,,,27.0
btc-updown-5m-1777891800,Deep Ladder Both Sides,base,5,2026-05-04 10:50:00+00:00,2026-05-04 10:54:59+00:00,DOWN,4,4,10,10,0.43499999999999994,0.465,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,6,40,,,4.0
btc-updown-5m-1777892100,Deep Ladder Both Sides,base,5,2026-05-04 10:55:00+00:00,2026-05-04 10:59:59+00:00,UP,4,4,10,10,0.43499999999999994,0.45499999999999996,0.8899999999999999,8.9,1.0999999999999996,0.7399999999999997,10,cancel_240,1,32,,,152.0
btc-updown-5m-1777892400,Deep Ladder Both Sides,base,5,2026-05-04 11:00:00+00:00,2026-05-04 11:04:59+00:00,UP,4,4,10,10,0.475,0.425,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,1,40,,,165.0
btc-updown-5m-1777892700,Deep Ladder Both Sides,base,5,2026-05-04 11:05:00+00:00,2026-05-04 11:09:59+00:00,UP,4,3,5,10,0.4699999999999999,0.445,0.9149999999999999,6.8,-1.7999999999999998,-2.07,10,cancel_240,15,28,0.00015229650330002604,,328.0
btc-updown-5m-1777893000,Deep Ladder Both Sides,base,5,2026-05-04 11:10:00+00:00,2026-05-04 11:14:59+00:00,DOWN,4,4,10,10,0.475,0.41500000000000004,0.89,8.9,1.0999999999999996,0.7399999999999997,10,cancel_240,7,48,,,2.0
btc-updown-5m-1777893300,Deep Ladder Both Sides,base,5,2026-05-04 11:15:00+00:00,2026-05-04 11:19:59+00:00,UP,4,4,10,10,0.45499999999999996,0.445,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,3,94,,,5.0
btc-updown-5m-1777893600,Deep Ladder Both Sides,base,5,2026-05-04 11:20:00+00:00,2026-05-04 11:24:59+00:00,DOWN,4,4,10,10,0.45499999999999996,0.445,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,8,40,,,6.0
btc-updown-5m-1777893900,Deep Ladder Both Sides,base,5,2026-05-04 11:25:00+00:00,2026-05-04 11:29:59+00:00,DOWN,4,4,10,10,0.465,0.43499999999999994,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,6,49,,,512.0
btc-updown-5m-1777894200,Deep Ladder Both Sides,base,5,2026-05-04 11:30:00+00:00,2026-05-04 11:34:59+00:00,DOWN,4,4,10,10,0.465,0.43499999999999994,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,3,72,,,127.0
btc-updown-5m-1777894500,Deep Ladder Both Sides,base,5,2026-05-04 11:35:00+00:00,2026-05-04 11:39:59+00:00,DOWN,4,4,10,10,0.45499999999999996,0.445,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,12,95,0.00013309756051185518,,259.0
btc-updown-5m-1777894800,Deep Ladder Both Sides,base,5,2026-05-04 11:40:00+00:00,2026-05-04 11:44:59+00:00,DOWN,4,4,10,10,0.475,0.425,0.8999999999999999,9.0,1.0,0.64,10,cancel_240,2,18,,,1.0
